team,link
Manchester City,/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats
Liverpool,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
Chelsea,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
Tottenham,/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats
Arsenal,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
Manchester Utd,/en/squads/19538871/2018-2019/Manchester-United-Stats
Wolves,/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats
Everton,/en/squads/d3fd31cc/2018-2019/Everton-Stats
Leicester City,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
West Ham,/en/squads/7c21e445/2018-2019/West-Ham-United-Stats
Watford,/en/squads/2abfe087/2018-2019/Watford-Stats
Crystal Palace,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
Newcastle Utd,/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats
Bournemouth,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
Burnley,/en/squads/943e8050/2018-2019/Burnley-Stats
Southampton,/en/squads/33c895d4/2018-2019/Southampton-Stats
Brighton,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
Cardiff City,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
Fulham,/en/squads/fd962109/2018-2019/Fulham-Stats
Huddersfield,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
