team,link
Liverpool,/en/squads/822bd0ba/Liverpool-Stats
Arsenal,/en/squads/18bb7c10/Arsenal-Stats
Aston Villa,/en/squads/8602292d/Aston-Villa-Stats
Manchester City,/en/squads/b8fd03ef/Manchester-City-Stats
Tottenham,/en/squads/361ca564/Tottenham-Hotspur-Stats
West Ham,/en/squads/7c21e445/West-Ham-United-Stats
Manchester Utd,/en/squads/19538871/Manchester-United-Stats
Brighton,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
Newcastle Utd,/en/squads/b2b47a98/Newcastle-United-Stats
Chelsea,/en/squads/cff3d9bb/Chelsea-Stats
Wolves,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats
Fulham,/en/squads/fd962109/Fulham-Stats
Brentford,/en/squads/cd051869/Brentford-Stats
Crystal Palace,/en/squads/47c64c55/Crystal-Palace-Stats
Nott'ham Forest,/en/squads/e4a775cb/Nottingham-Forest-Stats
Everton,/en/squads/d3fd31cc/Everton-Stats
Luton Town,/en/squads/e297cd13/Luton-Town-Stats
Burnley,/en/squads/943e8050/Burnley-Stats
Sheffield Utd,/en/squads/1df6b87e/Sheffield-United-Stats
