date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-02-23,19:45 (12:45),Championship,Matchweek 34,Fri,Away,L,0,1,Hull City,53,"15,213",Billy Sharp,3-5-2,Simon Hooper,Match Report,,,
2018-02-27,20:00 (13:00),Championship,Matchweek 32,Tue,Away,W,3,1,Reading,41,"6,769",Billy Sharp,3-5-2,Andrew Davies,Match Report,,,
2018-03-06,19:45 (12:45),Championship,Matchweek 36,Tue,Away,L,0,3,Fulham,36,"18,400",Billy Sharp,3-5-2,Keith Stroud,Match Report,,,
2018-03-10,15:00 (08:00),Championship,Matchweek 37,Sat,Away,D,0,0,Ipswich Town,54,"15,152",Billy Sharp,3-5-2,John Brooks,Match Report,,,
2018-03-13,19:45 (12:45),Championship,Matchweek 35,Tue,Home,W,2,0,Burton Albion,52,"24,832",Billy Sharp,3-5-2,Scott Duncan,Match Report,,,
2018-03-17,15:00 (08:00),Championship,Matchweek 38,Sat,Home,D,0,0,Nott'ham Forest,49,"28,095",Billy Sharp,3-5-2,Paul Tierney,Match Report,,,
2018-03-30,15:00 (07:00),Championship,Matchweek 39,Fri,Away,D,1,1,Brentford,44,"11,174",Billy Sharp,3-5-2,Jeremy Simpson,Match Report,,,
2018-04-02,19:45 (11:45),Championship,Matchweek 40,Mon,Home,D,1,1,Cardiff City,58,"25,231",Leon Clarke,3-5-1-1,Michael Oliver,Match Report,,,
2018-04-07,12:15 (04:15),Championship,Matchweek 41,Sat,Away,L,2,3,Barnsley,63,"16,041",Leon Clarke,3-5-1-1,Scott Duncan,Match Report,,,
2018-04-10,19:45 (11:45),Championship,Matchweek 42,Tue,Home,W,2,1,Middlesbrough,66,"26,557",Leon Clarke,3-5-1-1,Darren Bond,Match Report,,,
2018-04-14,13:00 (05:00),Championship,Matchweek 43,Sat,Home,D,1,1,Millwall,63,"27,454",Leon Clarke,3-5-1-1,David Coote,Match Report,,,
2018-04-21,15:00 (07:00),Championship,Matchweek 44,Sat,Away,L,1,2,Birmingham City,58,"23,579",Richard Stearman,3-5-1-1,Tim Robinson,Match Report,,,
2018-04-28,15:00 (07:00),Championship,Matchweek 45,Sat,Home,L,0,1,Preston,58,"28,568",Billy Sharp,3-5-2,James Linington,Match Report,,,
2018-05-06,12:30 (04:30),Championship,Matchweek 46,Sun,Away,W,3,2,Bristol City,56,"23,902",Billy Sharp,3-5-2,Peter Bankes,Match Report,,,
2018-08-04,17:30 (09:30),Championship,Matchweek 1,Sat,Home,L,1,2,Swansea City,0.6,1.0,52,"24,654",Leon Clarke,3-5-2,Jeremy Simpson,Match Report,
2018-08-07,19:45 (11:45),Championship,Matchweek 4,Tue,Away,L,0,3,Middlesbrough,1.1,0.9,58,"22,960",Leon Clarke,5-3-2,Robert Jones,Match Report,
2018-08-11,15:00 (07:00),Championship,Matchweek 2,Sat,Away,W,2,1,QPR,1.9,0.7,47,"14,128",Billy Sharp,5-3-2,Scott Duncan,Match Report,
2018-08-14,19:45 (11:45),EFL Cup,First round,Tue,Home,D,1 (4),1 (5),Hull City,,,58,"6,327",Leon Clarke,3-5-2,Martin Coy,Match Report,Hull City won on penalty kicks following extra time
2018-08-18,15:00 (07:00),Championship,Matchweek 3,Sat,Home,W,2,1,Norwich City,1.8,2.3,53,"23,850",Billy Sharp,3-4-1-2,Darren Bond,Match Report,
2018-08-25,15:00 (07:00),Championship,Matchweek 5,Sat,Away,W,3,0,Bolton,1.0,0.5,53,"14,848",Billy Sharp,3-4-1-2,Andy Madley,Match Report,
2018-09-01,15:00 (07:00),Championship,Matchweek 6,Sat,Home,W,4,1,Aston Villa,0.9,0.4,40,"26,030",Billy Sharp,3-4-1-2,James Linington,Match Report,
2018-09-15,15:00 (07:00),Championship,Matchweek 7,Sat,Away,L,0,1,Bristol City,0.5,0.7,57,"20,540",Billy Sharp,3-4-1-2,John Brooks,Match Report,
2018-09-19,19:45 (11:45),Championship,Matchweek 8,Wed,Home,D,0,0,Birmingham City,0.6,1.8,62,"23,525",Leon Clarke,3-4-1-2,Gavin Ward,Match Report,
2018-09-22,15:00 (07:00),Championship,Matchweek 9,Sat,Home,W,3,2,Preston,2.1,0.9,54,"23,857",Billy Sharp,3-4-1-2,Scott Duncan,Match Report,
2018-09-29,15:00 (07:00),Championship,Matchweek 10,Sat,Away,W,3,2,Millwall,3.2,1.1,66,"13,145",Billy Sharp,3-4-1-2,Andrew Davies,Match Report,
2018-10-03,19:45 (11:45),Championship,Matchweek 11,Wed,Away,W,2,0,Blackburn,2.2,0.9,46,"14,440",Billy Sharp,3-4-1-2,Robert Jones,Match Report,
2018-10-06,15:00 (07:00),Championship,Matchweek 12,Sat,Home,W,1,0,Hull City,2.0,0.5,53,"25,360",Billy Sharp,3-4-1-2,Peter Bankes,Match Report,
