date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-02-17,15:00 (08:00),Championship,Matchweek 32,Sat,Away,D,0,0,Burton Albion,29,"5,775",Ben Watson,4-2-3-1,Andrew Davies,Match Report,,,
2018-02-20,19:45 (12:45),Championship,Matchweek 33,Tue,Home,D,1,1,Reading,48,"21,846",Ben Watson,4-2-3-1,Steve Martin,Match Report,,,
2018-02-24,15:00 (08:00),Championship,Matchweek 34,Sat,Away,W,5,2,QPR,47,"13,675",Ben Watson,4-2-3-1,Darren Bond,Match Report,,,
2018-03-03,15:00 (08:00),Championship,Matchweek 35,Sat,Home,W,2,1,Birmingham City,51,"23,296",Ben Watson,4-2-3-1,Keith Stroud,Match Report,,,
2018-03-06,19:45 (12:45),Championship,Matchweek 36,Tue,Away,D,0,0,Norwich City,34,"25,184",Ben Watson,4-2-3-1,Darren England,Match Report,,,
2018-03-11,14:30 (07:30),Championship,Matchweek 37,Sun,Home,D,0,0,Derby County,54,"29,106",Ben Watson,4-2-3-1,Jeremy Simpson,Match Report,,,
2018-03-17,15:00 (08:00),Championship,Matchweek 38,Sat,Away,D,0,0,Sheffield Utd,51,"28,095",Ben Watson,4-4-2,Paul Tierney,Match Report,,,
2018-03-30,13:00 (05:00),Championship,Matchweek 39,Fri,Away,L,0,2,Millwall,65,"16,004",Ben Watson,4-2-3-1,Scott Duncan,Match Report,,,
2018-04-07,15:00 (07:00),Championship,Matchweek 41,Sat,Away,L,0,2,Middlesbrough,62,"25,812",Ben Watson,4-2-3-1,David Webb,Match Report,,,
2018-04-10,19:45 (11:45),Championship,Matchweek 42,Tue,Home,L,0,1,Brentford,49,"20,596",Ben Watson,4-3-3,Andrew Davies,Match Report,,,
2018-04-14,15:00 (07:00),Championship,Matchweek 43,Sat,Home,W,2,1,Ipswich Town,57,"25,093",Ben Watson,4-3-3,Darren England,Match Report,,,
2018-04-21,19:45 (11:45),Championship,Matchweek 44,Sat,Away,L,1,2,Cardiff City,57,"21,310",Ben Watson,4-3-3,Peter Bankes,Match Report,,,
2018-04-24,19:45 (11:45),Championship,Matchweek 40,Tue,Home,W,3,0,Barnsley,56,"23,633",Ben Watson,4-3-3,Robert Jones,Match Report,,,
2018-04-28,15:00 (07:00),Championship,Matchweek 45,Sat,Home,D,0,0,Bristol City,53,"24,722",Danny Fox,4-3-3,Jeremy Simpson,Match Report,,,
2018-05-06,12:30 (04:30),Championship,Matchweek 46,Sun,Away,L,2,3,Bolton,57,"18,289",Ben Watson,4-3-3,Scott Duncan,Match Report,,,
2018-08-04,15:00 (07:00),Championship,Matchweek 1,Sat,Away,D,1,1,Bristol City,0.7,0.4,51,"22,395",Ben Watson,4-2-3-1,Darren Bond,Match Report,
2018-08-07,19:45 (11:45),Championship,Matchweek 4,Tue,Home,D,1,1,West Brom,1.1,2.0,57,"27,850",Danny Fox,4-2-3-1,Darren England,Match Report,
2018-08-11,15:00 (07:00),Championship,Matchweek 2,Sat,Home,W,1,0,Reading,1.2,1.0,53,"27,948",Danny Fox,4-2-3-1,Steve Martin,Match Report,
