team,link
Liverpool,/en/squads/822bd0ba/2019-2020/Liverpool-Stats
Manchester City,/en/squads/b8fd03ef/2019-2020/Manchester-City-Stats
Manchester Utd,/en/squads/19538871/2019-2020/Manchester-United-Stats
Chelsea,/en/squads/cff3d9bb/2019-2020/Chelsea-Stats
Leicester City,/en/squads/a2d435b3/2019-2020/Leicester-City-Stats
Tottenham,/en/squads/361ca564/2019-2020/Tottenham-Hotspur-Stats
Wolves,/en/squads/8cec06e1/2019-2020/Wolverhampton-Wanderers-Stats
Arsenal,/en/squads/18bb7c10/2019-2020/Arsenal-Stats
Sheffield Utd,/en/squads/1df6b87e/2019-2020/Sheffield-United-Stats
Burnley,/en/squads/943e8050/2019-2020/Burnley-Stats
Southampton,/en/squads/33c895d4/2019-2020/Southampton-Stats
Everton,/en/squads/d3fd31cc/2019-2020/Everton-Stats
Newcastle Utd,/en/squads/b2b47a98/2019-2020/Newcastle-United-Stats
Crystal Palace,/en/squads/47c64c55/2019-2020/Crystal-Palace-Stats
Brighton,/en/squads/d07537b9/2019-2020/Brighton-and-Hove-Albion-Stats
West Ham,/en/squads/7c21e445/2019-2020/West-Ham-United-Stats
Aston Villa,/en/squads/8602292d/2019-2020/Aston-Villa-Stats
Bournemouth,/en/squads/4ba7cbea/2019-2020/Bournemouth-Stats
Watford,/en/squads/2abfe087/2019-2020/Watford-Stats
Norwich City,/en/squads/1c781004/2019-2020/Norwich-City-Stats
