team,link
Manchester City,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
Manchester Utd,/en/squads/19538871/2020-2021/Manchester-United-Stats
Liverpool,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
Chelsea,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
Leicester City,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
West Ham,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
Tottenham,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
Arsenal,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
Leeds United,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
Everton,/en/squads/d3fd31cc/2020-2021/Everton-Stats
Aston Villa,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
Newcastle Utd,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
Wolves,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
Crystal Palace,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
Southampton,/en/squads/33c895d4/2020-2021/Southampton-Stats
Brighton,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
Burnley,/en/squads/943e8050/2020-2021/Burnley-Stats
Fulham,/en/squads/fd962109/2020-2021/Fulham-Stats
West Brom,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
Sheffield Utd,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
