team,link
Manchester City,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
Liverpool,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
Chelsea,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
Tottenham,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
Arsenal,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
Manchester Utd,/en/squads/19538871/2021-2022/Manchester-United-Stats
West Ham,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
Leicester City,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
Brighton,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
Wolves,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
Newcastle Utd,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
Crystal Palace,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
Brentford,/en/squads/cd051869/2021-2022/Brentford-Stats
Aston Villa,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
Southampton,/en/squads/33c895d4/2021-2022/Southampton-Stats
Everton,/en/squads/d3fd31cc/2021-2022/Everton-Stats
Leeds United,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
Burnley,/en/squads/943e8050/2021-2022/Burnley-Stats
Watford,/en/squads/2abfe087/2021-2022/Watford-Stats
Norwich City,/en/squads/1c781004/2021-2022/Norwich-City-Stats
