Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",28,32,20,"1,851",20.6,4,1,5,4,0,0,1,0,3.4,3.4,1.6,4.9,31,70,60,0.19,0.05,0.24,0.19,0.24,0.16,0.08,0.24,0.16,0.24,Matches
Odsonne Édouard,fr FRA,FW,23,28,18,"1,564",17.4,6,3,9,5,1,1,4,0,6.4,5.6,1.9,7.5,42,42,109,0.35,0.17,0.52,0.29,0.46,0.37,0.11,0.48,0.32,0.43,Matches
James McArthur,sct SCO,MF,33,21,15,"1,439",16.0,0,3,3,0,0,0,4,0,0.3,0.3,1.4,1.7,29,84,22,0.00,0.19,0.19,0.00,0.19,0.02,0.09,0.11,0.02,0.11,Matches
Nathaniel Clyne,eng ENG,DF,30,16,15,"1,351",15.0,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,14,36,25,0.00,0.07,0.07,0.00,0.07,0.01,0.03,0.04,0.01,0.04,Matches
Jean-Philippe Mateta,fr FRA,FW,24,22,13,"1,145",12.7,5,1,6,5,0,0,2,0,5.8,5.8,1.3,7.1,16,6,46,0.39,0.08,0.47,0.39,0.47,0.46,0.10,0.56,0.46,0.56,Matches
Will Hughes,eng ENG,MF,26,16,13,"1,053",11.7,0,1,1,0,0,0,6,0,0.1,0.1,0.6,0.8,5,38,7,0.00,0.09,0.09,0.00,0.09,0.01,0.05,0.06,0.01,0.06,Matches
Michael Olise,fr FRA,"FW,MF",19,26,12,"1,141",12.7,2,5,7,2,0,0,4,0,1.7,1.7,3.9,5.6,55,63,110,0.16,0.39,0.55,0.16,0.55,0.13,0.30,0.44,0.13,0.44,Matches
Christian Benteke,be BEL,FW,30,25,11,"1,145",12.7,4,1,5,4,0,0,3,0,4.9,4.9,1.3,6.2,15,24,79,0.31,0.08,0.39,0.31,0.39,0.38,0.10,0.49,0.38,0.49,Matches
Luka Milivojević,rs SRB,MF,30,15,9,774,8.6,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,2,37,4,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches
Jack Butland,eng ENG,GK,28,9,8,765,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Eberechi Eze,eng ENG,"MF,FW",23,13,6,605,6.7,1,1,2,1,0,0,1,0,0.4,0.4,0.9,1.3,20,33,38,0.15,0.15,0.30,0.15,0.30,0.07,0.13,0.20,0.07,0.20,Matches
James Tomkins,eng ENG,DF,32,8,6,547,6.1,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,1,8,1,0.16,0.00,0.16,0.16,0.16,0.08,0.03,0.11,0.08,0.11,Matches
Jaïro Riedewald,nl NED,MF,24,3,1,118,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
Jesuran Rak Sakyi,eng ENG,"FW,MF",18,2,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Nathan Ferguson,eng ENG,DF,20,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Omotayo Adaramola,ie IRL,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Scott Banks,sct SCO,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Reece Hannam,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Martin Kelly,eng ENG,"DF,MF",31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Remi Matthews,eng ENG,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Robert Street,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marc Guéhi,eng ENG,DF,22,37,37,"3,329",37.0,1,0,1,1,0,0,8,0,1.5,1.5,0.5,1.9,17,106,3,0.03,0.00,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05,Matches
Tyrick Mitchell,eng ENG,DF,22,36,34,"2,891",32.1,0,2,2,0,0,0,5,1,0.6,0.6,1.2,1.8,23,106,90,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.05,0.02,0.05,Matches
Cheick Doucouré,ml MLI,MF,22,34,34,"2,769",30.8,0,3,3,0,0,0,10,1,1.4,1.4,1.9,3.4,18,140,17,0.00,0.10,0.10,0.00,0.10,0.05,0.06,0.11,0.05,0.11,Matches
Joachim Andersen,dk DEN,DF,26,32,32,"2,782",30.9,1,0,1,1,0,0,8,0,1.8,1.8,1.3,3.1,16,105,7,0.03,0.00,0.03,0.03,0.03,0.06,0.04,0.10,0.06,0.10,Matches
Michael Olise,fr FRA,"FW,MF",20,37,31,"2,749",30.5,2,11,13,2,0,0,2,0,2.9,2.9,8.7,11.6,111,133,243,0.07,0.36,0.43,0.07,0.43,0.09,0.29,0.38,0.09,0.38,Matches
Jordan Ayew,gh GHA,"FW,MF",30,38,31,"2,714",30.2,4,3,7,4,0,0,5,0,3.2,3.2,3.2,6.4,83,63,174,0.13,0.10,0.23,0.13,0.23,0.10,0.11,0.21,0.10,0.21,Matches
Eberechi Eze,eng ENG,"MF,FW",24,38,30,"2,636",29.3,10,4,14,9,1,1,3,0,7.3,6.5,4.3,10.8,69,131,129,0.34,0.14,0.48,0.31,0.44,0.25,0.15,0.39,0.22,0.37,Matches
Jeffrey Schlupp,gh GHA,"MF,FW",29,34,30,"2,531",28.1,3,1,4,3,0,0,7,0,3.2,3.2,1.4,4.6,32,98,67,0.11,0.04,0.14,0.11,0.14,0.11,0.05,0.17,0.11,0.17,Matches
Vicente Guaita,es ESP,GK,35,27,27,"2,430",27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wilfried Zaha,ci CIV,"FW,MF",29,27,27,"2,288",25.4,7,2,9,7,0,2,5,0,6.5,4.8,2.7,7.5,86,75,238,0.28,0.08,0.35,0.28,0.35,0.26,0.11,0.36,0.19,0.30,Matches
Joel Ward,eng ENG,DF,32,28,24,"2,256",25.1,1,0,1,1,0,0,6,0,1.1,1.1,0.4,1.5,22,101,46,0.04,0.00,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,Matches
Odsonne Édouard,fr FRA,FW,24,35,20,"1,803",20.0,5,2,7,5,0,0,3,0,4.2,4.2,1.2,5.4,29,32,100,0.25,0.10,0.35,0.25,0.35,0.21,0.06,0.27,0.21,0.27,Matches
Nathaniel Clyne,eng ENG,DF,31,22,19,"1,640",18.2,0,0,0,0,0,0,3,0,0.0,0.0,0.7,0.7,14,52,29,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Sam Johnstone,eng ENG,GK,29,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Will Hughes,eng ENG,MF,27,27,7,842,9.4,1,1,2,1,0,0,4,0,0.3,0.3,0.9,1.2,14,32,23,0.11,0.11,0.21,0.11,0.21,0.04,0.10,0.13,0.04,0.13,Matches
Jean-Philippe Mateta,fr FRA,FW,25,29,6,770,8.6,2,0,2,2,0,0,3,0,3.4,3.4,0.6,4.0,9,6,43,0.23,0.00,0.23,0.23,0.23,0.39,0.07,0.47,0.39,0.47,Matches
Albert Sambi Lokonga,be BEL,MF,22,9,6,536,6.0,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
Luka Milivojević,rs SRB,MF,31,18,5,512,5.7,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,2,20,2,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Matches
Chris Richards,us USA,DF,22,9,4,447,5.0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,4,14,3,0.00,0.00,0.00,0.00,0.00,0.14,0.05,0.20,0.14,0.20,Matches
James Tomkins,eng ENG,DF,33,6,3,338,3.8,1,0,1,1,0,0,3,1,1.0,1.0,0.0,1.0,1,2,1,0.27,0.00,0.27,0.27,0.27,0.27,0.00,0.27,0.27,0.27,Matches
Joseph Whitworth,eng ENG,GK,18,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Naouirou Ahamada,fr FRA,"MF,FW",20,8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,11,0.00,0.00,0.00,0.00,0.00,0.15,0.07,0.22,0.15,0.22,Matches
Jaïro Riedewald,nl NED,"DF,MF",25,6,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
James McArthur,sct SCO,MF,34,4,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Malcolm Ebiowei,eng ENG,"MF,FW",18,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
David Ozoh,eng ENG,FW,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Omotayo Adaramola,ie IRL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kofi Balmer,nir NIR,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jack Butland,eng ENG,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Owen Goodman,eng ENG,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
John-Kymani Gordon,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Killian Phillips,ie IRL,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luke Plange,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kaden Rodney,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jack Wells-Morrison,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joachim Andersen,dk DEN,DF,27-214,20,20,"1,800",20.0,2,1,3,2,0,0,4,0,1.2,1.2,1.4,2.6,15,95,6,0.10,0.05,0.15,0.10,0.15,0.06,0.07,0.13,0.06,0.13,Matches
Marc Guéhi,eng ENG,DF,23-171,19,19,"1,709",19.0,0,1,1,0,0,0,1,0,0.6,0.6,0.4,1.1,11,47,6,0.00,0.05,0.05,0.00,0.05,0.03,0.02,0.06,0.03,0.06,Matches
Tyrick Mitchell,eng ENG,DF,24-121,19,19,"1,627",18.1,1,2,3,1,0,0,4,0,0.5,0.5,1.2,1.7,9,51,69,0.06,0.11,0.17,0.06,0.17,0.02,0.07,0.09,0.02,0.09,Matches
Jordan Ayew,gh GHA,"FW,MF",32-111,19,18,"1,546",17.2,2,5,7,2,0,0,6,1,2.6,2.6,3.3,6.0,51,41,113,0.12,0.29,0.41,0.12,0.41,0.15,0.19,0.35,0.15,0.35,Matches
Sam Johnstone,eng ENG,GK,30-281,16,16,"1,436",16.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Joel Ward,eng ENG,DF,34-063,16,16,"1,332",14.8,0,1,1,0,0,0,4,0,0.7,0.7,0.2,0.9,15,48,14,0.00,0.07,0.07,0.00,0.07,0.05,0.02,0.06,0.05,0.06,Matches
Jefferson Lerma,co COL,MF,29-067,15,15,"1,305",14.5,0,1,1,0,0,0,3,0,2.1,2.1,1.6,3.6,9,51,37,0.00,0.07,0.07,0.00,0.07,0.14,0.11,0.25,0.14,0.25,Matches
Odsonne Édouard,fr FRA,FW,25-349,15,15,"1,242",13.8,6,0,6,6,0,0,3,0,5.0,5.0,0.9,5.9,26,24,74,0.43,0.00,0.43,0.43,0.43,0.36,0.07,0.43,0.36,0.43,Matches
