Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Emerson Palmieri,it ITA,DF,23,10,7,663,7.4,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,39,34,50,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
Ruben Loftus-Cheek,eng ENG,"MF,FW",22,24,6,998,11.1,6,2,8,6,0,0,0,0,2.8,2.8,0.8,3.7,52,61,75,0.54,0.18,0.72,0.54,0.72,0.26,0.07,0.33,0.26,0.33,Matches
Andreas Christensen,dk DEN,DF,22,8,6,617,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,35,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Callum Hudson-Odoi,eng ENG,FW,17,10,4,393,4.4,0,1,1,0,0,0,0,0,0.7,0.7,1.4,2.2,20,13,59,0.00,0.23,0.23,0.00,0.23,0.16,0.33,0.50,0.16,0.50,Matches
Willy Caballero,ar ARG,GK,36,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cesc Fàbregas,es ESP,MF,31,6,1,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,21,9,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
Davide Zappacosta,it ITA,DF,26,4,1,128,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,3,6,0.00,0.00,0.00,0.00,0.00,0.06,0.09,0.15,0.06,0.15,Matches
Victor Moses,ng NGA,FW,27,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,Matches
Gary Cahill,eng ENG,DF,32,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ethan Ampadu,wls WAL,"DF,MF",17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Danny Drinkwater,eng ENG,MF,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marc Guéhi,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
César Azpilicueta,es ESP,DF,29,36,36,"3,229",35.9,2,6,8,2,0,0,1,0,2.4,2.4,6.0,8.5,59,193,226,0.06,0.17,0.22,0.06,0.22,0.07,0.17,0.24,0.07,0.24,Matches
