Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Cody Gakpo,nl NED,"FW,MF",24-238,17,9,787,8.7,2,1,3,2,0,0,0,0,3.6,3.6,0.6,4.2,18,38,58,0.23,0.11,0.34,0.23,0.34,0.41,0.07,0.48,0.41,0.48,Matches
Joël Matip,cm CMR,DF,32-145,10,9,781,8.7,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,8,34,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06,Matches
Ibrahima Konaté,fr FRA,DF,24-220,13,8,795,8.8,0,0,0,0,0,0,2,0,0.4,0.4,0.2,0.6,16,71,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches
Andrew Robertson,sct SCO,DF,29-295,8,8,720,8.0,1,0,1,1,0,0,1,0,0.5,0.5,1.0,1.5,19,49,30,0.12,0.00,0.12,0.12,0.12,0.06,0.13,0.19,0.06,0.19,Matches
Kostas Tsimikas,gr GRE,DF,27-233,10,8,664,7.4,0,3,3,0,0,0,0,0,0.1,0.1,0.9,1.0,21,31,64,0.00,0.41,0.41,0.00,0.41,0.01,0.12,0.13,0.01,0.13,Matches
Diogo Jota,pt POR,"FW,MF",27-027,13,8,641,7.1,5,0,5,5,0,0,3,1,3.0,3.0,0.7,3.7,31,16,72,0.70,0.00,0.70,0.70,0.70,0.42,0.09,0.52,0.42,0.52,Matches
Joe Gomez,eng ENG,DF,26-222,16,7,842,9.4,0,0,0,0,0,0,2,0,0.5,0.5,0.4,0.8,21,40,74,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
Wataru Endo,jp JPN,MF,30-325,14,7,630,7.0,1,0,1,1,0,0,4,0,0.2,0.2,0.0,0.3,4,35,8,0.14,0.00,0.14,0.14,0.14,0.03,0.01,0.04,0.03,0.04,Matches
Ryan Gravenberch,nl NED,MF,21-229,14,7,600,6.7,0,0,0,0,0,0,0,0,1.3,1.3,0.5,1.8,25,45,38,0.00,0.00,0.00,0.00,0.00,0.20,0.08,0.28,0.20,0.28,Matches
Curtis Jones,eng ENG,MF,22-335,11,6,489,5.4,0,1,1,0,0,0,1,1,0.3,0.3,0.2,0.5,10,35,35,0.00,0.18,0.18,0.00,0.18,0.05,0.04,0.09,0.05,0.09,Matches
Jarell Quansah,eng ENG,DF,20-336,6,3,263,2.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,10,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Harvey Elliott,eng ENG,"MF,FW",20-271,16,2,412,4.6,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.6,16,39,34,0.22,0.22,0.44,0.22,0.44,0.12,0.23,0.36,0.12,0.36,Matches
Caoimhín Kelleher,ie IRL,GK,25-038,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Doak,sct SCO,FW,18-050,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
James McConnell,eng ENG,MF,19-109,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adrián,es ESP,GK,36-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Bajcetic,es ESP,DF,19-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Conor Bradley,nir NIR,"DF,MF",20-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Luke Chambers,eng ENG,DF,19-190,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Bobby Clark,eng ENG,MF,18-327,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Trey Nyoni,eng ENG,MF,16-184,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcelo Pitaluga,br BRA,GK,21-011,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Calum Scanlon,eng ENG,MF,18-320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
