Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
George Baldock,gr GRE,DF,27,32,32,"2,787",31.0,0,2,2,0,0,0,7,0,1.2,1.2,2.9,4.0,68,75,140,0.00,0.06,0.06,0.00,0.06,0.04,0.09,0.13,0.04,0.13,Matches
Chris Basham,eng ENG,"DF,MF",32,31,31,"2,576",28.6,0,1,1,0,0,0,5,0,0.7,0.7,0.9,1.6,38,82,48,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.06,0.03,0.06,Matches
Enda Stevens,ie IRL,DF,30,30,30,"2,700",30.0,0,1,1,0,0,0,6,0,1.3,1.3,1.6,2.9,44,124,99,0.00,0.03,0.03,0.00,0.03,0.04,0.05,0.10,0.04,0.10,Matches
John Egan,ie IRL,DF,27,31,30,"2,629",29.2,0,1,1,0,0,0,7,1,0.8,0.8,0.6,1.4,11,60,2,0.00,0.03,0.03,0.00,0.03,0.03,0.02,0.05,0.03,0.05,Matches
John Fleck,sct SCO,MF,28,31,29,"2,575",28.6,0,2,2,0,0,0,4,0,0.6,0.6,2.9,3.5,54,151,62,0.00,0.07,0.07,0.00,0.07,0.02,0.10,0.12,0.02,0.12,Matches
David McGoldrick,ie IRL,"FW,MF",32,35,28,"2,397",26.6,8,1,9,8,0,0,7,0,6.9,6.9,1.1,8.0,42,94,162,0.30,0.04,0.34,0.30,0.34,0.26,0.04,0.30,0.26,0.30,Matches
Oliver Norwood,nir NIR,MF,29,32,26,"2,220",24.7,0,0,0,0,0,0,6,0,0.5,0.5,2.0,2.4,7,125,19,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
Ethan Ampadu,wls WAL,"DF,MF",19,25,23,"2,089",23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches
John Lundstram,eng ENG,MF,26,28,23,"2,032",22.6,0,2,2,0,0,1,8,1,1.9,1.1,1.3,2.4,35,78,73,0.00,0.09,0.09,0.00,0.09,0.08,0.06,0.14,0.05,0.11,Matches
Ben Osborn,eng ENG,"MF,DF",25,24,17,"1,604",17.8,1,0,1,1,0,0,1,0,1.1,1.1,2.0,3.2,27,77,100,0.06,0.00,0.06,0.06,0.06,0.06,0.12,0.18,0.06,0.18,Matches
Oliver Burke,sct SCO,FW,23,25,14,"1,269",14.1,1,1,2,1,0,0,2,0,2.1,2.1,2.2,4.3,30,19,108,0.07,0.07,0.14,0.07,0.14,0.15,0.16,0.31,0.15,0.31,Matches
Sander Berge,no NOR,MF,22,15,13,"1,120",12.4,1,1,2,0,1,1,4,0,1.2,0.4,1.1,1.6,39,39,33,0.08,0.08,0.16,0.00,0.08,0.10,0.09,0.19,0.04,0.13,Matches
Oliver McBurnie,sct SCO,FW,24,23,12,"1,324",14.7,1,0,1,1,0,0,2,0,3.9,3.9,1.1,5.0,14,44,58,0.07,0.00,0.07,0.07,0.07,0.26,0.07,0.34,0.26,0.34,Matches
Rhian Brewster,eng ENG,"FW,MF",20,27,12,"1,128",12.5,0,0,0,0,0,0,1,0,1.8,1.8,1.6,3.4,11,20,48,0.00,0.00,0.00,0.00,0.00,0.14,0.13,0.27,0.14,0.27,Matches
Jayden Bogle,eng ENG,"DF,MF",20,16,12,"1,110",12.3,2,0,2,2,0,0,2,0,1.9,1.9,0.2,2.2,11,24,61,0.16,0.00,0.16,0.16,0.16,0.16,0.02,0.17,0.16,0.17,Matches
Kean Bryan,eng ENG,DF,23,13,12,"1,004",11.2,1,0,1,1,0,0,1,0,0.9,0.9,0.6,1.5,7,22,18,0.09,0.00,0.09,0.09,0.09,0.08,0.05,0.14,0.08,0.14,Matches
Jack Robinson,eng ENG,DF,26,11,9,877,9.7,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,3,22,6,0.00,0.10,0.10,0.00,0.10,0.07,0.06,0.13,0.07,0.13,Matches
Billy Sharp,eng ENG,FW,34,16,7,735,8.2,3,0,3,1,2,2,1,0,3.0,1.5,0.5,2.0,9,11,65,0.37,0.00,0.37,0.12,0.12,0.37,0.07,0.44,0.18,0.24,Matches
Max Lowe,eng ENG,DF,23,8,7,550,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,10,14,32,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
Phil Jagielka,eng ENG,DF,37,10,6,526,5.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,1,6,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Jebbison,eng ENG,FW,16,4,3,284,3.2,1,0,1,1,0,0,0,0,1.1,1.1,0.0,1.2,2,1,6,0.32,0.00,0.32,0.32,0.32,0.36,0.01,0.37,0.36,0.37,Matches
Lys Mousset,fr FRA,"FW,MF",24,11,2,296,3.3,0,0,0,0,0,0,0,0,1.0,1.0,0.3,1.3,3,3,16,0.00,0.00,0.00,0.00,0.00,0.29,0.10,0.39,0.29,0.39,Matches
Jack O'Connell,eng ENG,DF,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Iliman Ndiaye,sn SEN,MF,20,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Antwoine Hackford,eng ENG,DF,16,1,0,11,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.84,0.84,0.84,Matches
Femi Seriki,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Harry Boyes,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Zak Brunt,eng ENG,"FW,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wes Foderingham,eng ENG,GK,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kyron Gordon,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Frankie Maguire,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
William Osula,dk DEN,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michael Verrips,nl NED,GK,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Wes Foderingham,eng ENG,GK,32-351,20,20,"1,800",20.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jack Robinson,eng ENG,DF,30-121,19,18,"1,660",18.4,0,1,1,0,0,0,6,0,0.5,0.5,0.4,0.9,2,30,7,0.00,0.05,0.05,0.00,0.05,0.03,0.02,0.05,0.03,0.05,Matches
Vinicius Souza,br BRA,MF,24-197,19,18,"1,504",16.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,5,39,12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Gustavo Hamer,nl NED,MF,26-190,18,17,"1,435",15.9,2,2,4,2,0,0,5,0,1.6,1.6,1.9,3.5,21,63,34,0.13,0.13,0.25,0.13,0.25,0.10,0.12,0.22,0.10,0.22,Matches
