Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Nathan Patterson,sct SCO,DF,22-076,18,9,951,10.6,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2.0,17,37,32,0.00,0.19,0.19,0.00,0.19,0.03,0.16,0.19,0.03,0.19,Matches
Beto,gw GNB,FW,25-334,15,5,514,5.7,1,0,1,1,0,0,1,0,2.6,2.6,0.3,2.9,7,8,34,0.18,0.00,0.18,0.18,0.18,0.46,0.05,0.51,0.46,0.51,Matches
Michael Keane,eng ENG,DF,30-354,7,4,404,4.5,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,3,10,2,0.22,0.00,0.22,0.22,0.22,0.15,0.00,0.15,0.15,0.15,Matches
Arnaut Danjuma,nl NED,"MF,FW",26-334,12,3,444,4.9,1,0,1,1,0,0,0,0,2.3,2.3,0.5,2.8,21,6,36,0.20,0.00,0.20,0.20,0.20,0.47,0.09,0.56,0.47,0.56,Matches
Alex Iwobi,ng NGA,MF,27-242,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0.00,0.00,0.00,0.00,0.00,0.21,0.14,0.35,0.21,0.35,Matches
Lewis Dobbin,eng ENG,MF,20-362,6,1,169,1.9,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,6,1,10,0.53,0.00,0.53,0.53,0.53,0.10,0.01,0.12,0.10,0.12,Matches
André Gomes,pt POR,MF,30-154,3,1,159,1.8,1,0,1,1,0,0,2,0,0.1,0.1,0.4,0.5,1,10,13,0.57,0.00,0.57,0.57,0.57,0.04,0.24,0.28,0.04,0.28,Matches
Neal Maupay,fr FRA,FW,27-139,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0.00,0.00,0.00,0.00,0.00,1.16,0.05,1.22,1.16,1.22,Matches
Séamus Coleman,ie IRL,DF,35-081,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ben Godfrey,eng ENG,DF,25-350,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Youssef Chermiti,pt POR,FW,19-221,7,0,52,0.6,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,0,1,7,0.00,0.00,0.00,0.00,0.00,0.39,0.71,1.09,0.39,1.09,Matches
Thomas Cannon,ie IRL,FW,21-003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Tyler Onyango,eng ENG,MF,20-302,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elijah Campbell,eng ENG,DF,19-151,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mackenzie Hunt,eng ENG,DF,22-047,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andy Lonergan,ie IRL,GK,40-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jenson Metcalfe,eng ENG,MF,19-116,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
João Virgínia,pt POR,GK,24-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
