Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Toti Gomes,pt POR,DF,24-349,17,14,"1,284",14.3,0,2,2,0,0,0,1,0,0.7,0.7,0.8,1.5,11,47,4,0.00,0.14,0.14,0.00,0.14,0.05,0.05,0.10,0.05,0.10,Matches
Pedro Neto,pt POR,"MF,FW",23-297,11,10,897,10.0,1,7,8,1,0,0,3,0,2.4,2.4,2.7,5.1,53,31,82,0.10,0.70,0.80,0.10,0.80,0.24,0.27,0.52,0.24,0.52,Matches
Pablo Sarabia,es ESP,"FW,MF",31-234,13,8,674,7.5,1,5,6,1,0,0,1,0,1.2,1.2,4.4,5.6,16,47,58,0.13,0.67,0.80,0.13,0.80,0.16,0.59,0.74,0.16,0.74,Matches
Jean-Ricner Bellegarde,fr FRA,MF,25-187,11,6,520,5.8,2,1,3,2,0,0,0,1,0.7,0.7,0.4,1.1,22,24,22,0.35,0.17,0.52,0.35,0.52,0.12,0.07,0.19,0.12,0.19,Matches
Hugo Bueno,es ESP,"DF,MF",21-104,12,4,396,4.4,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.8,11,5,29,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.17,0.06,0.17,Matches
Tommy Doyle,eng ENG,MF,22-075,12,3,411,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.2,0.3,7,25,6,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Boubacar Traoré,ml MLI,MF,22-133,12,3,390,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.2,4,12,9,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
Fábio Silva,pt POR,FW,21-165,8,3,264,2.9,0,0,0,0,0,0,2,0,1.0,1.0,0.2,1.2,5,10,13,0.00,0.00,0.00,0.00,0.00,0.35,0.07,0.42,0.35,0.42,Matches
Daniel Bentley,eng ENG,GK,30-171,3,2,248,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Santiago Bueno,uy URU,DF,25-052,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Matheus Nunes,pt POR,MF,25-126,2,2,179,2.0,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.2,7,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
Matt Doherty,ie IRL,"MF,DF",31-349,14,1,425,4.7,1,0,1,1,0,0,1,0,0.5,0.5,0.7,1.2,3,8,27,0.21,0.00,0.21,0.21,0.21,0.11,0.14,0.25,0.11,0.25,Matches
Sasa Kalajdzic,at AUT,FW,26-177,11,1,166,1.8,2,0,2,2,0,0,0,0,1.1,1.1,1.0,2.0,1,5,9,1.08,0.00,1.08,1.08,1.08,0.57,0.52,1.09,0.57,1.09,Matches
Jonny Castro,es ESP,MF,29-303,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ty Barnett,eng ENG,FW,18-165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tawanda Chirewa,eng ENG,MF,20-081,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathan Fraser,ie IRL,FW,18-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Enso Gonzalez,py PAR,MF,18-345,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Owen Hesketh,wls WAL,MF,21-082,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Joseph Hodge,ie IRL,MF,21-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Justin Hubner,nl NED,DF,20-108,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom King,wls WAL,GK,28-297,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matthew Whittingham,eng ENG,MF,19-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
