Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Matěj Vydra,cz CZE,FW,26,13,3,318,3.5,1,1,2,1,0,0,1,0,1.8,1.8,0.5,2.3,3,3,15,0.28,0.28,0.57,0.28,0.57,0.52,0.13,0.65,0.52,0.65,Matches
Stephen Ward,ie IRL,DF,32,3,3,228,2.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,8,10,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Ben Gibson,eng ENG,DF,25,1,1,62,0.7,1,0,1,1,0,0,1,0,0.7,0.7,0.0,0.7,0,2,0,1.45,0.00,1.45,1.45,1.45,1.06,0.00,1.06,1.06,1.06,Matches
Peter Crouch,eng ENG,FW,37,6,0,92,1.0,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,0,4,12,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.60,0.60,0.60,Matches
Josh Benson,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Anthony Driscoll-Glennon,eng ENG,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ali Koiki,eng ENG,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jonathan Walters,ie IRL,"FW,MF",34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nick Pope,eng ENG,GK,27,38,38,"3,420",38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
James Tarkowski,eng ENG,DF,26,38,38,"3,420",38.0,2,2,4,2,0,0,10,0,2.1,2.1,3.1,5.2,2,83,2,0.05,0.05,0.11,0.05,0.11,0.06,0.08,0.14,0.06,0.14,Matches
Dwight McNeil,eng ENG,MF,19,38,38,"3,338",37.1,2,6,8,2,0,0,5,0,2.3,2.3,7.7,10.0,146,97,109,0.05,0.16,0.22,0.05,0.22,0.06,0.21,0.27,0.06,0.27,Matches
