Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Bruno Fernandes,pt POR,"MF,FW",27,37,37,"3,316",36.8,8,8,16,6,2,2,6,0,9.3,7.7,16.7,24.4,89,263,231,0.22,0.22,0.43,0.16,0.38,0.25,0.45,0.71,0.21,0.66,Matches
Marcus Rashford,eng ENG,FW,24,35,32,"2,879",32.0,17,5,22,17,0,0,2,0,15.4,15.4,3.4,18.8,85,88,245,0.53,0.16,0.69,0.53,0.69,0.48,0.11,0.59,0.48,0.59,Matches
Luke Shaw,eng ENG,DF,27,31,30,"2,552",28.4,1,2,3,1,0,0,8,0,1.1,1.1,3.6,4.7,53,140,76,0.04,0.07,0.11,0.04,0.11,0.04,0.13,0.16,0.04,0.16,Matches
Christian Eriksen,dk DEN,MF,30,28,25,"2,048",22.8,1,8,9,1,0,0,3,0,5.0,5.0,4.2,9.2,23,164,66,0.04,0.35,0.40,0.04,0.40,0.22,0.19,0.40,0.22,0.40,Matches
Diogo Dalot,pt POR,DF,23,26,24,"2,154",23.9,1,2,3,1,0,0,6,0,2.5,2.5,1.9,4.4,46,92,85,0.04,0.08,0.13,0.04,0.13,0.10,0.08,0.18,0.10,0.18,Matches
Casemiro,br BRA,MF,30,28,24,"2,124",23.6,4,3,7,4,0,0,7,2,3.4,3.4,3.1,6.5,14,152,34,0.17,0.13,0.30,0.17,0.30,0.14,0.13,0.28,0.14,0.28,Matches
Lisandro Martínez,ar ARG,DF,24,27,24,"2,114",23.5,1,0,1,1,0,0,6,0,0.5,0.5,0.3,0.8,12,83,2,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches
Antony,br BRA,FW,22,25,23,"1,802",20.0,4,2,6,4,0,0,5,0,6.6,6.6,2.9,9.4,95,74,168,0.20,0.10,0.30,0.20,0.30,0.33,0.14,0.47,0.33,0.47,Matches
Raphaël Varane,fr FRA,DF,29,24,22,"1,911",21.2,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,17,63,4,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Jadon Sancho,eng ENG,"FW,MF",22,26,21,"1,686",18.7,6,3,9,6,0,0,0,0,4.2,4.2,5.0,9.2,88,76,173,0.32,0.16,0.48,0.32,0.48,0.22,0.27,0.49,0.22,0.49,Matches
