Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Matches
Fodé Ballo-Touré,sn SEN,DF,26-362,4,0,52,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adama Traoré,es ESP,"FW,DF",27-340,4,0,44,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,2,2,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.42,0.42,0.42,Matches
Aleksandar Mitrović,rs SRB,FW,29-106,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches
Marek Rodák,sk SVK,GK,27-018,0,0,,0.0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,Matches
Luc De Fougerolles,ca CAN,DF,18-080,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matt Dibley-Dias,nz NZL,MF,19-325,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tyrese Francois,au AUS,MF,23-168,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kevin Mbabu,ch SUI,DF,28-256,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jay Stansfield,eng ENG,"FW,MF",21-037,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Devan Tanton,co COL,DF,19-362,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
