date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2021-12-29,20:15 (13:15),Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1.1,0.4,76,"17,009",Fernandinho,4-3-3,David Coote,Match Report,
2022-01-01,12:30 (05:30),Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2.0,0.8,71,"59,757",Rúben Dias,4-2-3-1,Stuart Attwell,Match Report,
,,,,,,,,,,,,,,,,,,
2022-01-07,20:00 (13:00),FA Cup,Third round proper,Fri,Away,W,4,1,Swindon Town,,,77,"14,753",İlkay Gündoğan,4-3-3,Darren England,Match Report,
2022-01-15,12:30 (05:30),Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,1.0,0.3,56,"53,319",Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,
2022-01-22,17:30 (10:30),Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1.8,0.8,74,"31,178",Rúben Dias,4-3-3,Simon Hooper,Match Report,
2022-02-05,15:00 (08:00),FA Cup,Fourth round proper,Sat,Home,W,4,1,Fulham,,,61,"53,400",Fernandinho,4-3-3,Jarred Gillett,Match Report,
2022-02-09,19:45 (12:45),Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,1.9,0.4,74,"51,658",Rúben Dias,4-3-3,Darren England,Match Report,
2022-02-12,17:30 (10:30),Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.6,0.4,71,"27,010",Fernandinho,4-3-3,Andre Marriner,Match Report,
2022-02-15,20:00 (13:00),Champions Lg,Round of 16,Tue,Away,W,5,0,pt Sporting CP,2.1,0.1,63,"48,129",Rúben Dias,4-3-3,Srdjan Stojanovic,Match Report,Leg 1 of 2
2022-02-19,17:30 (10:30),Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.1,1.4,71,"53,201",İlkay Gündoğan,4-3-3,Anthony Taylor,Match Report,
2022-02-26,17:30 (10:30),Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.8,0.5,67,"39,105",İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,
2022-03-01,19:15 (12:15),FA Cup,Fifth round proper,Tue,Away,W,2,0,P'borough Utd,,,76,"13,405",Oleksandr Zinchenko,4-3-3,Andy Madley,Match Report,
2022-03-06,16:30 (09:30),Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69,"53,165",Kevin De Bruyne,4-3-3,Michael Oliver,Match Report,
2022-03-09,20:00 (13:00),Champions Lg,Round of 16,Wed,Home,D,0,0,pt Sporting CP,1.5,0.8,68,"51,213",Fernandinho,4-3-3,Halil Umut Meler,Match Report,Leg 2 of 2; Manchester City won
2022-03-14,20:00 (13:00),Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.8,0.6,73,"25,309",Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,
2022-03-20,15:00 (08:00),FA Cup,Quarter-finals,Sun,Away,W,4,1,Southampton,,,65,"29,702",İlkay Gündoğan,4-3-3,Mike Dean,Match Report,
