date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2018-02-24,15:00 (08:00),Premier League,Matchweek 28,Sat,Away,L,1,4,Liverpool,0.4,4.0,33,"53,256",Mark Noble,3-4-3,Stuart Attwell,Match Report,
2018-03-03,15:00 (08:00),Premier League,Matchweek 29,Sat,Away,L,1,4,Swansea City,0.4,1.8,54,"20,829",Mark Noble,3-4-3,Martin Atkinson,Match Report,
2018-03-10,15:00 (08:00),Premier League,Matchweek 30,Sat,Home,L,0,3,Burnley,0.8,1.4,52,"56,904",Mark Noble,3-4-3,Lee Mason,Match Report,
2018-03-31,15:00 (07:00),Premier League,Matchweek 32,Sat,Home,W,3,0,Southampton,1.4,0.5,49,"56,882",Mark Noble,3-4-3,Jonathan Moss,Match Report,
2018-04-08,16:30 (08:30),Premier League,Matchweek 33,Sun,Away,D,1,1,Chelsea,0.3,1.7,41,"41,324",Mark Noble,3-4-3,Kevin Friend,Match Report,
2018-04-16,20:00 (12:00),Premier League,Matchweek 34,Mon,Home,D,1,1,Stoke City,0.8,1.7,63,"56,795",Mark Noble,3-4-3,Michael Oliver,Match Report,
2018-04-22,13:30 (05:30),Premier League,Matchweek 35,Sun,Away,L,1,4,Arsenal,0.8,1.8,33,"59,422",Mark Noble,3-4-3,Lee Mason,Match Report,
2018-04-29,14:15 (06:15),Premier League,Matchweek 36,Sun,Home,L,1,4,Manchester City,0.2,2.4,26,"56,904",Mark Noble,3-5-1-1,Niel Swarbrick,Match Report,
2018-05-05,15:00 (07:00),Premier League,Matchweek 37,Sat,Away,W,2,0,Leicester City,1.6,0.5,47,"32,013",Mark Noble,3-4-3,Chris Kavanagh,Match Report,
2018-05-10,19:45 (11:45),Premier League,Matchweek 31,Thu,Home,D,0,0,Manchester Utd,0.6,0.8,44,"56,902",Mark Noble,3-4-3,Jonathan Moss,Match Report,
2018-05-13,15:00 (07:00),Premier League,Matchweek 38,Sun,Home,W,3,1,Everton,1.1,1.6,57,"56,926",Mark Noble,3-4-3,Graham Scott,Match Report,
2018-08-12,13:30 (05:30),Premier League,Matchweek 1,Sun,Away,L,0,4,Liverpool,0.7,4.0,36,"53,235",Mark Noble,4-2-3-1,Anthony Taylor,Match Report,
2018-08-18,15:00 (07:00),Premier League,Matchweek 2,Sat,Home,L,1,2,Bournemouth,1.2,1.3,61,"56,888",Mark Noble,4-4-2,Stuart Attwell,Match Report,
2018-08-25,15:00 (07:00),Premier League,Matchweek 3,Sat,Away,L,1,3,Arsenal,1.1,1.8,39,"59,830",Marko Arnautović,4-4-1-1,Graham Scott,Match Report,
2018-08-28,19:45 (11:45),EFL Cup,Second round,Tue,Away,W,3,1,AFC Wimbledon,,,81,"3,962",Adrián,4-2-3-1,Tim Robinson,Match Report,
2018-09-01,15:00 (07:00),Premier League,Matchweek 4,Sat,Home,L,0,1,Wolves,1.1,1.0,48,"56,947",Marko Arnautović,4-2-3-1,Chris Kavanagh,Match Report,
2018-09-16,16:00 (08:00),Premier League,Matchweek 5,Sun,Away,W,3,1,Everton,1.2,1.4,44,"39,161",Mark Noble,4-1-4-1,Martin Atkinson,Match Report,
2018-09-23,13:30 (05:30),Premier League,Matchweek 6,Sun,Home,D,0,0,Chelsea,1.0,1.5,29,"56,875",Mark Noble,4-3-3,Mike Dean,Match Report,
2018-09-26,19:45 (11:45),EFL Cup,Third round,Wed,Home,W,8,0,Macclesfield,,,76,"24,833",Adrián,4-3-3,Craig Pawson,Match Report,
2018-09-29,12:30 (04:30),Premier League,Matchweek 7,Sat,Home,W,3,1,Manchester Utd,1.4,0.7,48,"56,938",Mark Noble,4-1-4-1,Michael Oliver,Match Report,
2018-10-05,20:00 (12:00),Premier League,Matchweek 8,Fri,Away,L,0,1,Brighton,1.4,1.2,64,"30,544",Mark Noble,4-1-4-1,Kevin Friend,Match Report,
2018-10-20,15:00 (07:00),Premier League,Matchweek 9,Sat,Home,L,0,1,Tottenham,0.8,0.9,44,"56,921",Mark Noble,4-1-4-1,Martin Atkinson,Match Report,
2018-10-27,17:30 (09:30),Premier League,Matchweek 10,Sat,Away,D,1,1,Leicester City,1.4,1.7,36,"31,848",Mark Noble,4-1-4-1,Michael Oliver,Match Report,
2018-10-31,19:45 (12:45),EFL Cup,Fourth round,Wed,Home,L,1,3,Tottenham,,,50,"50,270",Adrián,4-3-3,Stuart Attwell,Match Report,
