date,start_time,comp,round,dayofweek,venue,result,goals_for,goals_against,opponent,xg_for,xg_against,possession,attendance,captain,formation,referee,match_report,Notes
2024-01-01,15:00 (08:00),Championship,Matchweek 26,Mon,Away,,,,Norwich City,,,,,,,,Head-to-Head,
2024-01-06,15:00 (08:00),FA Cup,Third round proper,Sat,Home,,,,Walsall,,,,,,,,Head-to-Head,
2024-01-13,15:00 (08:00),Championship,Matchweek 27,Sat,Home,,,,Sheffield Weds,,,,,,,,Head-to-Head,
2024-01-20,12:30 (05:30),Championship,Matchweek 28,Sat,Away,,,,Swansea City,,,,,,,,Head-to-Head,
,,,,,,,,,,,,,,,,,,
2024-01-27,15:00 (08:00),Championship,Matchweek 29,Sat,Home,,,,Hull City,,,,,,,,Head-to-Head,
2024-02-03,15:00 (08:00),Championship,Matchweek 30,Sat,Away,,,,Rotherham Utd,,,,,,,,Head-to-Head,
2024-02-10,15:00 (08:00),Championship,Matchweek 31,Sat,Home,,,,Huddersfield,,,,,,,,Head-to-Head,
2024-02-13,19:45 (12:45),Championship,Matchweek 32,Tue,Away,,,,Bristol City,,,,,,,,Head-to-Head,
2024-02-17,15:00 (08:00),Championship,Matchweek 33,Sat,Away,,,,West Brom,,,,,,,,Head-to-Head,
2024-02-24,15:00 (08:00),Championship,Matchweek 34,Sat,Home,,,,Millwall,,,,,,,,Head-to-Head,
2024-03-02,15:00 (08:00),Championship,Matchweek 35,Sat,Away,,,,Birmingham City,,,,,,,,Head-to-Head,
2024-03-06,19:45 (12:45),Championship,Matchweek 36,Wed,Home,,,,Preston,,,,,,,,Head-to-Head,
2024-03-09,15:00 (08:00),Championship,Matchweek 37,Sat,Home,,,,Sunderland,,,,,,,,Head-to-Head,
2024-03-16,15:00 (08:00),Championship,Matchweek 38,Sat,Away,,,,Leicester City,,,,,,,,Head-to-Head,
2024-03-29,15:00 (08:00),Championship,Matchweek 39,Fri,Home,,,,Middlesbrough,,,,,,,,Head-to-Head,
2024-04-01,15:00 (07:00),Championship,Matchweek 40,Mon,Away,,,,Ipswich Town,,,,,,,,Head-to-Head,
2024-04-06,15:00 (07:00),Championship,Matchweek 41,Sat,Away,,,,Blackburn,,,,,,,,Head-to-Head,
2024-04-09,19:45 (11:45),Championship,Matchweek 42,Tue,Home,,,,Coventry City,,,,,,,,Head-to-Head,
2024-04-13,15:00 (07:00),Championship,Matchweek 43,Sat,Home,,,,Watford,,,,,,,,Head-to-Head,
2024-04-20,15:00 (07:00),Championship,Matchweek 44,Sat,Away,,,,Cardiff City,,,,,,,,Head-to-Head,
2024-04-27,15:00 (07:00),Championship,Matchweek 45,Sat,Home,,,,Stoke City,,,,,,,,Head-to-Head,
2024-05-04,15:00 (07:00),Championship,Matchweek 46,Sat,Away,,,,Leeds United,,,,,,,,Head-to-Head,
